GO Term	Size	RealTPD	RealPvalue	ShuffledTPD	ShuffledPvalue
GO:0035770	6	29.0	2.9302912148518106E-4	75.0	0.38547799703841373
GO:0035966	5	57.0	0.6467195404567794	59.0	0.7120012915245655
GO:0035967	3	19.0	0.7458718066309742	17.0	0.5938024080403933
GO:0036094	55	8042.0	0.5790897478186185	8322.0	0.8460971767215244
GO:0036211	47	4952.0	0.001428415516891253	5815.0	0.5347234260853101
GO:0036230	21	1101.0	0.43670720391699314	1303.0	0.9763346165066058
GO:0036293	11	225.0	0.03563101315796982	289.0	0.4751923547534185
GO:0036294	8	128.0	0.18676038078280083	143.0	0.40903070419984683
GO:0036296	3	14.0	0.3448186521234654	20.0	0.8088205323061611
GO:0036464	6	29.0	2.9302912148518106E-4	82.0	0.5744603178443368
GO:0036477	18	627.0	0.007040763777279185	810.0	0.48907200380195304
GO:0036503	5	40.0	0.11959772592320542	58.0	0.6800575833770865
GO:0040007	4	29.0	0.3628630955957633	54.0	0.9982563748886641
GO:0040008	9	202.0	0.6622768218706803	187.0	0.44713891839843106
GO:0040011	13	279.0	0.0020936286684435294	424.0	0.591488314680857
GO:0040012	13	305.0	0.010479557250782527	440.0	0.7166439900720392
GO:0040013	5	38.0	0.08695245604844618	24.0	0.004155731517235801
GO:0040017	9	127.0	0.00966238557585819	207.0	0.7265940942985346
GO:0040029	5	60.0	0.7423546329682812	68.0	0.9164631035513198
GO:0042060	11	199.0	0.006014011427794617	267.0	0.25434080823227573
GO:0042063	3	10.0	0.10579091461789708	18.0	0.6734554176570715
GO:0042110	3	20.0	0.8088205323061611	23.0	0.9343022670638608
GO:0042119	21	1101.0	0.43670720391699314	1096.0	0.41591351797068016
GO:0042127	14	350.0	0.005705684417727759	512.0	0.7131793629671044
GO:0042175	24	1460.0	0.47333928219720295	1666.0	0.9593680449620747
GO:0042176	11	259.0	0.18981194855412273	337.0	0.8932431571712433
GO:0042177	4	30.0	0.41300657794238405	40.0	0.862169673729559
GO:0042221	51	6811.0	0.4662493247442433	6507.0	0.14341902132937984
GO:0042254	12	155.0	1.6260083540462715E-6	360.0	0.5999617545744571
GO:0042277	7	107.0	0.412159598845936	113.0	0.5407582143373458
GO:0042306	4	7.0	5.964734144435641E-4	22.0	0.10242685396246473
GO:0042325	18	543.0	1.7878506364301503E-4	724.0	0.12133879966488481
GO:0042326	7	45.0	1.7613442179252413E-4	97.0	0.22286433878131598
GO:0042327	12	226.0	0.001565558412158655	409.0	0.9231024609442229
GO:0042330	4	21.0	0.08092768885594051	34.0	0.6195005239237004
GO:0042383	4	17.0	0.02723999000694707	32.0	0.5168213003721176
GO:0042391	3	20.0	0.8088205323061611	13.0	0.2703766711819732
GO:0042470	7	72.0	0.017259321412876494	139.0	0.9341978409768203
GO:0042493	11	324.0	0.8133215821506359	302.0	0.6146788509086587
GO:0042578	4	15.0	0.014437697720659228	38.0	0.7962049654024463
GO:0042579	5	45.0	0.23573361726507117	59.0	0.7120012915245655
GO:0042581	7	119.0	0.6651942727758965	112.0	0.519256588335143
GO:0042582	7	99.0	0.2564132710757499	96.0	0.20707525065951202
GO:0042592	27	2069.0	0.9325863116856254	1814.0	0.3421362600688872
GO:0042623	7	125.0	0.7736792611518097	121.0	0.7036037543496596
GO:0042625	4	20.0	0.06302333118791523	21.0	0.08092768885594051
GO:0042626	4	20.0	0.06302333118791523	32.0	0.5168213003721176
GO:0042719	4	6.0	3.678756898097148E-4	31.0	0.46461254187805967
GO:0042721	3	3.0	0.0027645561644255995	5.0	0.010116491878262655
GO:0042737	3	22.0	0.902713763291213	15.0	0.42580108506480596
GO:0042742	3	9.0	0.07185340703421195	13.0	0.2703766711819732
GO:0042773	3	14.0	0.3448186521234654	20.0	0.8088205323061611
GO:0042775	3	14.0	0.3448186521234654	20.0	0.8088205323061611
GO:0042802	24	1565.0	0.8039557333485747	1614.0	0.9008545173190772
GO:0042803	13	452.0	0.796460424285439	395.0	0.34914135121562406
GO:0042886	57	7373.0	3.6873918306437614E-4	8694.0	0.6322474699657633
GO:0042981	18	871.0	0.7828528943741511	915.0	0.9139666705649607
GO:0042995	33	2023.0	3.6515299703855586E-6	2729.0	0.31271955390966466
GO:0043005	21	873.0	0.004972135901126307	932.0	0.025472829637285133
GO:0043009	4	12.0	0.004956075507013374	29.0	0.3628630955957633
GO:0043010	4	22.0	0.10242685396246473	39.0	0.831253797884157
GO:0043015	3	3.0	0.0027645561644255995	12.0	0.2049491548637462
GO:0043021	6	59.0	0.08292296997893871	74.0	0.3595977937852082
GO:0043022	3	6.0	0.017663661769845344	21.0	0.8611386820779643
GO:0043025	7	80.0	0.046331869998764735	98.0	0.2393177016413606
GO:0043043	8	56.0	2.4830142833603453E-5	184.0	0.9422071087727777
GO:0043062	7	74.0	0.022436230640299322	100.0	0.2741242976753832
GO:0043065	7	99.0	0.2564132710757499	94.0	0.17755477693211238
GO:0043066	14	535.0	0.8417705280998373	502.0	0.6449789045558977
GO:0043067	18	871.0	0.7828528943741511	769.0	0.28388970025722327
GO:0043068	7	99.0	0.2564132710757499	134.0	0.8920537777259807
GO:0043069	14	535.0	0.8417705280998373	488.0	0.5416307447462995
GO:0043085	15	336.0	7.368110040566919E-5	503.0	0.1784531701069354
GO:0043086	9	169.0	0.21336868744622642	200.0	0.6350059054240935
GO:0043087	4	18.0	0.03657078126592459	23.0	0.12780398353791242
GO:0043112	3	5.0	0.010116491878262655	14.0	0.3448186521234654
GO:0043122	9	185.0	0.41822479659075484	173.0	0.25858964966902426
GO:0043123	8	134.0	0.26567245413958007	161.0	0.7128709270464274
GO:0043124	3	16.0	0.510033481788937	8.0	0.04692563119074478
GO:0043144	3	3.0	0.0027645561644255995	32.0	0.9993117657831156
GO:0043161	8	95.0	0.009600974406839354	146.0	0.4609394164831657
GO:0043167	81	17916.0	0.7664295296970906	18039.0	0.8315209733607243
GO:0043168	52	7222.0	0.633674680304144	6914.0	0.2652128158961782
GO:0043169	42	4852.0	0.8434370256908195	4911.0	0.8945580928465215
GO:0043170	101	26938.0	0.19402772497089738	28017.0	0.7919352685429877
GO:0043197	5	12.0	9.293467163268868E-5	34.0	0.04223757508879553
GO:0043200	3	11.0	0.14996743553214986	19.0	0.7458718066309742
GO:0043202	4	28.0	0.3149684288245026	29.0	0.3628630955957633
GO:0043207	10	237.0	0.4851638325361082	247.0	0.6092491253267357
GO:0043209	7	60.0	0.00286684168248387	106.0	0.39125506910774766
GO:0043226	188	99203.0	0.9173536450359263	98438.0	0.25445853496509296
GO:0043227	181	92365.0	0.9909618122285246	91040.0	0.4347992087027764
GO:0043228	76	15331.0	0.4450389581934322	15326.0	0.44103217682881596
GO:0043229	185	96448.0	0.9902953195548005	96168.0	0.956810332258218
GO:0043230	48	5127.0	7.010014174430038E-4	6185.0	0.6865921884370381
GO:0043231	169	82068.0	0.9999980862350906	80424.0	0.9834954325702618
GO:0043232	76	15331.0	0.4450389581934322	15520.0	0.5969102400894117
GO:0043233	99	29053.0	0.9999863267416627	25948.0	0.24260760292818379
GO:0043235	3	22.0	0.902713763291213	16.0	0.510033481788937
GO:0043244	3	16.0	0.510033481788937	10.0	0.10579091461789708
GO:0043254	9	128.0	0.010655349418326404	181.0	0.36184763383787516
GO:0043266	3	9.0	0.07185340703421195	7.0	0.029419016654363854
GO:0043268	3	9.0	0.07185340703421195	21.0	0.8611386820779643
GO:0043269	10	146.0	0.0018676469320746494	264.0	0.7916369756767156
